is_in_other_df,body
1,Wow. Throwback to when Senator Barack Obama agreed with @realDonaldTrump on immigration! RT this so your friends see this! https://t.co/njiHBonHlM
1,"⚡️When I use the terms ""foreign migrants"" or ""Israli migrant army"" or ""migrant settlers""

I'm using the correct historical term, it's not a joke. https://t.co/LJ2IuLQd7T"
1,"Elon Musk says the Biden Administration is actively aiding illegal immigration?

Do you agree? https://t.co/5o3OcS5h00"
1,"""New York city is legit becoming the worst nightmare""

""These gangs are brutally beating up people""

""And yet mayor Adams is still saying you should vote for Biden""

""This one illegal migrant girl has been arrested 8 times""

""She was let go with no bail""

What the heII is going… https://t.co/J7vQzIb8Xy"
1,"Chicago Is No Longer Asleep 👏🏻 Resident Destroys Committee On Immigrant &amp; Refugee Rights 

“We have an administration that is run by criminals who hate America”

“I'd like to start off with something Edward Snowden, a whistleblower once said. He said, when exposing a crime is… https://t.co/dmKQG1VMR6"
1,"Strange foreign men roaming through Dublin in groups. 

If you don't start speaking out against immigration now, your kids and grandkids will curse you. 

#IrelandisFull https://t.co/6STWMC8NiR"
1,"We're back with our favourite customs agent. 

If this man was put in charge of all Immigration into Ireland, there'd be nobody coming in! 

Legend. https://t.co/QJmvIUBXMi"
1,"Canvassing in #Letterkenny and #Ballybofey,  Co #Donegal &amp; speaking to local people about deeply damaging impact of EU Migration Pact. People have right to be concerned. Thankfully, more people speaking up on issue of immigration and housing. https://t.co/0IZeH0LaVj"
1,"THE CORRUPT COLOMBIAN IMMIGRANT JUDGE JUAN MERCHAN JUST GAGGED PRESIDENT TRUMP! 

THIS IMMIGRANT DOESN’T KNOW WHAT THE FIRST AMENDMENT IS! 

SHARE THIS SINCE PRESIDENT TRUMP CAN’T !!! https://t.co/xb3eFxFPAJ"
1,MIGRANT  FEMALE NY USING BASEBALL BAT https://t.co/zSZP7JQVZs
1,"NYC Migrant Crisis👇🏻

This right here is the epicenter of the migrant crisis in NYC. It’s the Roosevelt hotel where they are being bussed to from Texas &amp; Florida. The situation is actually much worse than the media makes it out to be. They’re making midtown NYC look like Honduras https://t.co/5EvR8UBPp6"
1,Always protect your woman.  This will be our reality as more and more migrants flood our homelands.  #Immigration #IrelandisFull #Diversity #BorderCrisis https://t.co/njT3LKBHoA
1,"In memory of Pamela, a beautiful Italian girl. She was only 18 years old when an illegal African immigrant kidnapped her, tortured her, kiIIled her, chopped up her body, cannibaIized her, locked her in a suitcase and threw her on the street. In a wiretap, the kiIIer is heard… https://t.co/yjQiuIv6sX"
1,People loved Roosevelt so much that an illegal Latvian immigrant risked his immigration status to destroy a mural mocking him and his administration. https://t.co/3kNzRdejmn
1,Cocky Illegal Immigrant Gets What He Deserves https://t.co/94kXPTEKMr
1,"@RadioGenoa Homeowner in Barcelona asks the illegal African immigrant to leave the occupied house but he refuses and takes a hammer: ""It's my house now!"" https://t.co/uHsOyTKLsh"
1,North African immigrant makes his son urinate on an Italian police car out of contempt for Italy while his compatriots film and laugh. We hope that with this video they can be traced and sent back to where they came from. https://t.co/7qQykItl9E
1,"Russia is conducting raids on dorms and apartment complexes known to house illegal immigrants to conduct mass deportations in response to the recent attack in Moscow, which claimed the lives of over 140 people. 

According to migrant rights NGOs, Russia has processed hundreds of… https://t.co/Dmc6BYosXb"
1,Wales: The Welsh Refugee Council is using 12 yr old girls in ads meant to entice migrant men to come to Wales. The refugee council is a far left group. https://t.co/dWn6ASoaqo
1,"Immigration is why your rent is so high.

Unlimited demand is a wet dream for landlords and developers. 

You're competing with 1.2 million foreigners for housing.

That's why you'll never own a home. https://t.co/oY4xpobSVU"
1,Massive support for a campaign against the opening of an illegal migrant Centre at the Ocean Heights Care Home. People are fed up by the established powers that be and are ready for real change! More updates to come. #ReformUK https://t.co/qEgkq9vjVi
1,"I find this video symbolic of white nations. We are stronger than other races, but when we become outnumbered, we lose our power.  Only when unified can we expel the neocolonizers and create a future for white children.  Demographics are destiny. #Diversity #Immigration https://t.co/UtM1xx9ini"
1,"Final part of interview with Callum Smiles in which I look at the implications of Ireland's ruinous immigration policy, the fact that we are close to midnight in terms of likely social breakdown and how we can reverse the self destructive course we have set. https://t.co/csg5mEE17H"
1,🇮🇪😡We must demand a Referendum on the EU Migration and Asylum Pact as it is a direct attack on our Constitutional Sovereignty. https://t.co/p5q4rRF96F
1,Ireland must OPT OUT from the EU migration pact. #Irelandisfull #Irishfreedom 🇮🇪 https://t.co/A266PMttiu
1,STOP ILLEGAL IMMIGRATION @29 May 2024 https://t.co/Y3vp28Ikng
1,"WATCH: DeSantis grills NBC for story that residents are ""fleeing"" Florida in droves

""Trying to say people are leaving Florida in droves. And then they had to admit in the article we were #1 for net in migration in the year that they're talking about!"" https://t.co/kn12eqBQJg"
1,"A video which looks at the global elite &amp; how the biggest buttress to their plans are us, the working-classes. 

Forced to flee to the suburbs or rural areas as inner cities become immigrant ghettos, who wait on them hand &amp; foot in the service industries &amp; cheap manual labour.… https://t.co/7RDzCvvlXR"
1,"THE BOERS' MIGRATION MOVEMENT IN JEOPARDY

During the period between Potgieter's departure and Gerrit Maritz's trek from the Cape in September 1836, the Boers' migration movement reached a critical turning point. Few Boers were ready to follow Potgieter, and a lack of action… https://t.co/FgocAxd08k"
1,"Where did all the money go Gavin?

How are your open borders and illegal immigrant incentive programs going?"
1,"UNREAL! Ecuador migrant says says “ The U.S. has collected all the garbage from other countries !” 
#DemocratsAreDestroyingAmerica #EasterSunday https://t.co/XNsEcbmVsd"
1,U.S. Citizenship Services just introduced a third gender to its immigration forms: https://t.co/vkrr9llv4P
1,"WATCH: Hamiltonians speak out against the Liberal-NDP's 23% carbon tax increase while MPs get a pay raise and Canadians face a housing, immigration and cost of living crisis.

""Just step down"" one demonstrator says on the overpass.

Sign the petition: https://t.co/fK4ZaxDGPj https://t.co/rAH60KGC4H"
1,"Repeat after me. 

Legal immigration is a bigger problem than illegal immigration. https://t.co/000bovtdQU"
1,"FRANCE 

A 34 year old Muslim migrant from Senegal has been arrested after threatening to burn down Notre Dame de la Voie church in Athis Mons.

The would be terrorist entered the church and told a parishioner of his plans to attack the building. https://t.co/MlvjS4uZdG"
1,"The difference between 'Refugees' and 'Migrants'.
The only reason we fled thousands of miles leaving behind our beloved country and loved ones is in fear of persecution and seeking safety. A Migrant refers to someone who had has voluntarily chosen to leave their home country to… https://t.co/DbjKVxyexJ"
1,"Eric Weinstein lays out how immigration is a Ponzi scheme. ""And the secret weapon is immigration. And the great part about immigration is it is as an invidious tool for one generation to screw another generation with. . . It's just pushing out the supply curve on labor and wages.… https://t.co/UAUpHW2XC2"
1,A immigrant in North Carolina said this https://t.co/HNRhg10RDX
1,"A Haitian illegal migrant who confessed to s—xually abusing a 10-year-old child told police in Broward County, Fla. that he should have asked for a lawyer before incriminating himself. Nivenson Sarazin has been charged with five counts of battery contact with bodily fluids, five… https://t.co/C0cCROjsHp"
